Question,Option A,Option B,Option C,Option D,Correct Answer
"What is the correct answer for sample question 1 in SS1 MATHEMATICS?","Option A for Q1","Option B for Q1","Option C for Q1","Option D for Q1","C"
"What is the correct answer for sample question 2 in SS1 MATHEMATICS?","Option A for Q2","Option B for Q2","Option C for Q2","Option D for Q2","C"
"What is the correct answer for sample question 3 in SS1 MATHEMATICS?","Option A for Q3","Option B for Q3","Option C for Q3","Option D for Q3","C"
"What is the correct answer for sample question 4 in SS1 MATHEMATICS?","Option A for Q4","Option B for Q4","Option C for Q4","Option D for Q4","B"
"What is the correct answer for sample question 5 in SS1 MATHEMATICS?","Option A for Q5","Option B for Q5","Option C for Q5","Option D for Q5","D"
"What is the correct answer for sample question 6 in SS1 MATHEMATICS?","Option A for Q6","Option B for Q6","Option C for Q6","Option D for Q6","B"
"What is the correct answer for sample question 7 in SS1 MATHEMATICS?","Option A for Q7","Option B for Q7","Option C for Q7","Option D for Q7","B"
"What is the correct answer for sample question 8 in SS1 MATHEMATICS?","Option A for Q8","Option B for Q8","Option C for Q8","Option D for Q8","B"
"What is the correct answer for sample question 9 in SS1 MATHEMATICS?","Option A for Q9","Option B for Q9","Option C for Q9","Option D for Q9","B"
"What is the correct answer for sample question 10 in SS1 MATHEMATICS?","Option A for Q10","Option B for Q10","Option C for Q10","Option D for Q10","A"
"What is the correct answer for sample question 11 in SS1 MATHEMATICS?","Option A for Q11","Option B for Q11","Option C for Q11","Option D for Q11","A"
"What is the correct answer for sample question 12 in SS1 MATHEMATICS?","Option A for Q12","Option B for Q12","Option C for Q12","Option D for Q12","B"
"What is the correct answer for sample question 13 in SS1 MATHEMATICS?","Option A for Q13","Option B for Q13","Option C for Q13","Option D for Q13","C"
"What is the correct answer for sample question 14 in SS1 MATHEMATICS?","Option A for Q14","Option B for Q14","Option C for Q14","Option D for Q14","C"
"What is the correct answer for sample question 15 in SS1 MATHEMATICS?","Option A for Q15","Option B for Q15","Option C for Q15","Option D for Q15","D"
"What is the correct answer for sample question 16 in SS1 MATHEMATICS?","Option A for Q16","Option B for Q16","Option C for Q16","Option D for Q16","C"
"What is the correct answer for sample question 17 in SS1 MATHEMATICS?","Option A for Q17","Option B for Q17","Option C for Q17","Option D for Q17","A"
"What is the correct answer for sample question 18 in SS1 MATHEMATICS?","Option A for Q18","Option B for Q18","Option C for Q18","Option D for Q18","B"
"What is the correct answer for sample question 19 in SS1 MATHEMATICS?","Option A for Q19","Option B for Q19","Option C for Q19","Option D for Q19","C"
"What is the correct answer for sample question 20 in SS1 MATHEMATICS?","Option A for Q20","Option B for Q20","Option C for Q20","Option D for Q20","B"
"What is the correct answer for sample question 21 in SS1 MATHEMATICS?","Option A for Q21","Option B for Q21","Option C for Q21","Option D for Q21","A"
"What is the correct answer for sample question 22 in SS1 MATHEMATICS?","Option A for Q22","Option B for Q22","Option C for Q22","Option D for Q22","D"
"What is the correct answer for sample question 23 in SS1 MATHEMATICS?","Option A for Q23","Option B for Q23","Option C for Q23","Option D for Q23","C"
"What is the correct answer for sample question 24 in SS1 MATHEMATICS?","Option A for Q24","Option B for Q24","Option C for Q24","Option D for Q24","D"
"What is the correct answer for sample question 25 in SS1 MATHEMATICS?","Option A for Q25","Option B for Q25","Option C for Q25","Option D for Q25","C"
